generation,best_throughput,best_mean_throughput,gen_wallclock_s,cumulative_wallclock_s,restarted_emitters
220,5.225400,4.465200,110.95,7085.56,
221,5.225400,4.534400,17.66,7103.22,
222,5.225400,4.149400,17.41,7120.63,
223,5.225400,3.842800,17.68,7138.31,
224,5.225400,4.128800,37.60,7175.91,
225,5.225400,4.284000,17.42,7193.33,
226,5.225400,4.111200,17.28,7210.61,
227,5.225400,4.488600,17.35,7227.96,
228,5.225400,4.574400,17.93,7245.90,
229,5.225400,4.301600,17.79,7263.69,
230,5.225400,4.540000,112.44,7376.12,
231,5.225400,4.122200,17.67,7393.80,
232,5.225400,4.135600,17.31,7411.11,
233,5.225400,3.787000,17.47,7428.58,
234,5.225400,4.240000,17.24,7445.82,
235,5.225400,3.840800,17.72,7463.54,
236,5.225400,4.414000,17.46,7481.00,
237,5.225400,4.278600,17.44,7498.43,
238,5.225400,4.364600,17.59,7516.02,
239,5.225400,4.359200,17.83,7533.85,
240,5.225400,4.328200,127.13,7660.98,
241,5.225400,4.852600,17.55,7678.53,
242,5.225400,4.558800,17.73,7696.26,
243,5.225400,4.589800,17.84,7714.10,
244,5.225400,4.203400,17.72,7731.82,
245,5.225400,4.093000,17.83,7749.65,
246,5.225400,3.875600,17.45,7767.10,
247,5.225400,4.766200,17.92,7785.02,
248,5.225400,4.318000,17.44,7802.46,
249,5.225400,4.286200,17.63,7820.09,
250,5.225400,4.538200,114.26,7934.35,
251,5.225400,4.422800,17.30,7951.65,
252,5.225400,4.398600,17.66,7969.31,
253,5.225400,4.728400,18.02,7987.33,
254,5.225400,4.739600,17.80,8005.13,
255,5.225400,4.374200,17.65,8022.78,
256,5.225400,4.283200,38.09,8060.87,
257,5.225400,4.173400,17.88,8078.76,
258,5.225400,4.820800,17.70,8096.46,
259,5.225400,4.596800,17.75,8114.21,
260,5.225400,4.383200,115.61,8229.82,
261,5.225400,4.871200,17.84,8247.66,
262,5.225400,4.814200,17.86,8265.52,
263,5.225400,4.553800,17.59,8283.12,
264,5.225400,4.122800,17.45,8300.57,
265,5.225400,4.613600,17.51,8318.07,
266,5.225400,4.548400,17.56,8335.64,
267,5.225400,4.442200,17.46,8353.10,
268,5.225400,4.674200,17.55,8370.64,
269,5.225400,4.578200,17.42,8388.07,
270,5.225400,3.985400,120.00,8508.07,
271,5.225400,4.727600,17.72,8525.79,
272,5.225400,5.046200,17.96,8543.75,
273,5.225400,4.237400,17.48,8561.23,
274,5.225400,4.499200,18.13,8579.36,
275,5.225400,5.217600,18.14,8597.51,
276,5.225400,4.753600,17.59,8615.10,
277,5.225400,4.172600,19.24,8634.34,
278,5.225400,4.543800,17.38,8651.72,
279,5.225400,4.488600,17.89,8669.61,
280,5.225400,4.444400,109.87,8779.48,
