generation,mode,n_simulated,surrogate_rho,mean_std,selected_std,train_time_s,total_sims_saved
109,surrogate,20,,0.0530,0.0832,0.44,32400
110,control,100,0.7122,0.0496,,9.97,32400
111,surrogate,20,,0.0682,0.0738,0.36,32800
112,surrogate,20,,0.0753,0.1291,0.36,33200
113,surrogate,20,,0.0762,0.1398,0.46,33600
114,surrogate,20,,0.0668,0.0978,0.35,34000
115,surrogate,20,,0.0627,0.0850,0.34,34400
116,surrogate,20,,0.0648,0.1034,0.44,34800
117,surrogate,20,,0.0724,0.1503,0.39,35200
118,surrogate,20,,0.0654,0.1182,0.32,35600
119,surrogate,20,,0.0622,0.1036,0.33,36000
120,control,100,0.7916,0.0588,,12.54,36000
121,surrogate,20,,0.0554,0.1047,0.39,36400
122,surrogate,20,,0.0477,0.0753,0.41,36800
123,surrogate,20,,0.0436,0.0589,0.41,37200
124,surrogate,20,,0.0488,0.0809,0.38,37600
125,surrogate,20,,0.0456,0.0610,0.40,38000
126,surrogate,20,,0.0468,0.0629,0.34,38400
127,surrogate,20,,0.0426,0.0347,0.31,38800
128,surrogate,20,,0.0470,0.0609,0.34,39200
129,surrogate,20,,0.0474,0.0583,0.44,39600
130,control,100,0.7741,0.0554,,12.72,39600
131,surrogate,20,,0.0674,0.1124,0.37,40000
132,surrogate,20,,0.0553,0.0749,0.42,40400
133,surrogate,20,,0.0625,0.1166,0.40,40800
134,surrogate,20,,0.0506,0.0479,0.41,41200
135,surrogate,20,,0.0499,0.0464,0.46,41600
136,surrogate,20,,0.0571,0.0831,0.40,42000
137,surrogate,20,,0.0509,0.0716,0.33,42400
138,surrogate,20,,0.0506,0.0693,0.44,42800
139,surrogate,20,,0.0582,0.1039,0.43,43200
140,control,100,0.7151,0.0558,,13.20,43200
141,surrogate,20,,0.0629,0.1141,0.40,43600
142,surrogate,20,,0.0591,0.0953,0.33,44000
143,surrogate,20,,0.0635,0.0964,0.41,44400
144,surrogate,20,,0.0724,0.1457,0.34,44800
145,surrogate,20,,0.0606,0.0929,0.43,45200
146,surrogate,20,,0.0635,0.0822,0.43,45600
147,surrogate,20,,0.0648,0.1080,0.37,46000
148,surrogate,20,,0.0569,0.0709,0.45,46400
149,surrogate,20,,0.0731,0.1447,0.37,46800
150,control,100,0.4935,0.0683,,11.31,46800
151,surrogate,20,,0.0856,0.1953,0.34,47200
152,surrogate,20,,0.0679,0.1017,0.44,47600
153,surrogate,20,,0.0647,0.0956,0.38,48000
154,surrogate,20,,0.0636,0.1109,0.41,48400
155,surrogate,20,,0.0690,0.1380,0.34,48800
156,surrogate,20,,0.0610,0.1004,0.41,49200
157,surrogate,20,,0.0644,0.1148,0.43,49600
158,surrogate,20,,0.0639,0.1009,0.37,50000
159,surrogate,20,,0.0652,0.0969,0.41,50400
160,control,100,0.7227,0.0816,,12.97,50400
161,surrogate,20,,0.0833,0.0939,0.38,50800
162,surrogate,20,,0.0855,0.1114,0.42,51200
163,surrogate,20,,0.0837,0.1086,0.30,51600
164,surrogate,20,,0.0753,0.0484,0.34,52000
165,surrogate,20,,0.0799,0.0948,0.32,52400
166,surrogate,20,,0.0732,0.0709,0.43,52800
167,surrogate,20,,0.0812,0.0933,0.39,53200
168,surrogate,20,,0.0728,0.0674,0.34,53600
169,surrogate,20,,0.0778,0.1079,0.43,54000
170,control,100,0.7191,0.0707,,13.21,54000
171,surrogate,20,,0.0842,0.1359,0.37,54400
172,surrogate,20,,0.0787,0.1151,0.37,54800
173,surrogate,20,,0.0724,0.1080,0.44,55200
